Stimulus,AdjustStart,Speaker,Gender,Feature,Word,Token,TokenStart,TokenEnd,Preceding,Following,Vowel,VowelStart,VowelEnd,MaxFrequency,NumFormants,ConsPrecedingTrans,ConsFollowingTrans,CaliPrecedingTrans,CaliFollowingTrans,PrecNyquist,PrecFormants,FollNyquist,FollFormants,F0_mid,F1_mid,F2_mid,F3_mid,F2ConsTargetA,F2CaliTargetA,F2ConsTargetB,F2CaliTargetB,F2ConsTargetC,F2CaliTargetC,F3IncrCons,F3IncrCali
5,0.05,BA05-TN,M,TRAP,MATT,M AE1,0.05,0.154296616,M,T,AE,0.065588233,0.154296616,5000,4.5,OK,OK,OK,OK,,,,,123.8889644,748.4853754,1664.962176,2593.662679,1714.161244,1413.832761,1764.704638,1464.376155,1739.432941,1439.104458,0,0
5,0.05,BA05-TN,M,TRAP,CAT,AE1,0.361122836,0.551870497,K,T,AE,0.361122836,0.551870497,5000,4.5,OK,OK,OK,OK,,,,,125.57879,764.3588827,1713.935391,2602.099302,1714.161244,1413.832761,1764.704638,1464.376155,1739.432941,1439.104458,0,0
5,0.05,BA05-TN,M,TRAP,BACK,AE1,10.37093503,10.71257274,B,K,AE,10.37093503,10.71257274,5000,4.5,OK,OK,OK,OK,,,,,137.2779482,808.4155563,1604.162194,2512.888705,1714.161244,1413.832761,1764.704638,1464.376155,1739.432941,1439.104458,0,0
5,0.05,BA05-TN,M,GOOSE,STU,UW1,2.939117169,3.066303025,T,# ER0,UW,2.939117169,3.066303025,5000,5,OK,OK,OK,Bad,,,5000,5,148.7406902,423.9506713,1495.453643,2219.960816,1307.320146,1764.622763,1336.073088,1793.375704,1321.696617,1778.999234,0,100
5,0.05,BA05-TN,M,GOOSE,TOO,UW1,6.27479208,6.54713292,T,# sp,UW,6.27479208,6.54713292,5000,5,OK,OK,OK,OK,,,,,142.8471693,493.5205443,1701.673936,2384.401774,1307.320146,1764.622763,1336.073088,1793.375704,1321.696617,1778.999234,0,0
5,0.05,BA05-TN,M,GOOSE,STU,UW1,8.189269821,8.408647392,T,# R,UW,8.189269821,8.408647392,5000,5,OK,OK,OK,OK,,,,,132.1950634,395.6710504,1581.623827,2339.808619,1307.320146,1764.622763,1336.073088,1793.375704,1321.696617,1778.999234,0,100
18,0.05,SC06-KY,F,TRAP,MATT,M AE1,0.05,0.209126181,M,T,AE,0.113348176,0.209126181,5000,4.5,OK,OK,OK,OK,,,,,182.3036384,894.7535146,1803.987669,2869.575331,1931.875722,1663.258114,1895.018527,1626.40092,1913.447124,1644.829517,0,0
18,0.05,SC06-KY,F,TRAP,CAT,AE1,0.507828288,0.598807972,K,T,AE,0.507828288,0.598807972,5000,4,OK,OK,OK,OK,,,,,101.0847942,801.0593299,1696.486512,2857.738902,1931.875722,1663.258114,1895.018527,1626.40092,1913.447124,1644.829517,0,0
18,0.05,SC06-KY,F,TRAP,CAT,AE1,9.20119256,9.320831444,K,T,AE,9.20119256,9.320831444,5000,4,OK,OK,OK,OK,,,,,--undefined--,911.292142,1840.938466,3326.91094,1931.875722,1663.258114,1895.018527,1626.40092,1913.447124,1644.829517,0,0
18,0.05,SC06-KY,F,GOOSE,SUITCASE,"UW1	",2.666912018,2.746996132,S,T,UW,2.666912018,2.746996132,5000,4.5,OK,OK,OK,OK,,,,,198.2851353,400.9568103,1830.339222,2641.920096,1229.368253,1707.68991,1640.287735,2118.609393,1434.827994,1913.149652,0,0
18,0.05,SC06-KY,F,GOOSE,FOOD,UW1,7.902871381,8.323005795,F,D,UW,7.902871381,8.323005795,5000,4.5,OK,OK,OK,OK,,,,,205.7941287,405.9381314,1232.828418,2647.793935,1229.368253,1707.68991,1640.287735,2118.609393,1190.827994,1669.149652,0,200
23,0,SC05-KB,M,TRAP,CAT,AE1,3.218993692,3.402025616,K,T,AE,3.218993692,3.402025616,5000,4.5,OK,OK,OK,OK,,,,,112.0060048,720.4127885,1628.937721,2519.019405,1876.772021,1576.443538,1764.704638,1464.376155,1820.738329,1520.409847,0,0
23,0,SC05-KB,M,TRAP,ADEQUATELY,AE1,4.284929786,4.431093533,N #,D,AE,4.284929786,4.431093533,5000,4.5,OK,OK,OK,OK,,,,,115.8290117,805.9424934,1716.311131,3033.656475,1876.772021,1576.443538,1764.704638,1464.376155,1820.738329,1520.409847,0,0
23,0,SC05-KB,M,TRAP,AS,AE1,7.739892476,7.929242854,sp #,Z,AE,7.739892476,7.929242854,5000,4.5,OK,OK,OK,OK,,,,,111.2842496,671.4086076,1872.026545,2809.853979,1876.772021,1576.443538,1764.704638,1464.376155,1820.738329,1520.409847,0,0
23,0,SC05-KB,M,GOOSE,STU,UW1,0.190947748,0.36,T,# IH1,UW,0.190947748,0.36,5000,5,OK,Bad,OK,OK,,,5000,5,138.7263048,394.8112186,1546.77686,2217.091511,1140.072065,1597.374681,1336.073088,1793.375704,1238.072576,1695.375193,0,0
23,0,SC05-KB,M,GOOSE,STU,UW1,8.143695083,8.252318729,T,# B,UW,8.143695083,8.252318729,5000,5,OK,OK,OK,OK,,,,,138.928331,292.0900671,2074.207202,2381.250884,1140.072065,1597.374681,1336.073088,1793.375704,1238.072576,1695.375193,0,0
24,0.05,SC05-KB,M,TRAP,MATT'S,M AE1,0.05,0.169591813,M,T,AE,0.073172244,0.169591813,5000,4.5,OK,OK,OK,OK,,,,,143.2015678,786.2506664,1524.426137,2730.208974,1876.772021,1576.443538,1764.704638,1464.376155,1820.738329,1520.409847,0,0
24,0.05,SC05-KB,M,TRAP,MATT,M AE1,7.170862715,7.32998788,M,T,AE,7.23424014,7.32998788,5000,4.5,OK,OK,OK,OK,,,,,146.0238784,747.8674972,1685.910652,2650.009546,1876.772021,1576.443538,1764.704638,1464.376155,1820.738329,1520.409847,0,0
24,0.05,SC05-KB,M,TRAP,PACK,AE1,8.400800816,8.464678331,P,K,AE,8.400800816,8.464678331,5000,4.5,OK,OK,OK,OK,,,,,141.7254157,743.6768498,1758.822029,2714.639264,1876.772021,1576.443538,1764.704638,1464.376155,1820.738329,1520.409847,0,0
24,0.05,SC05-KB,M,TRAP,BAG,AE1,9.407188451,9.614343663,B,G,AE,9.407188451,9.614343663,5000,4.5,OK,OK,OK,OK,,,,,114.8190913,701.5242351,1597.019936,3013.617794,1876.772021,1576.443538,1764.704638,1464.376155,1820.738329,1520.409847,0,0
